Running simulation round 1 / 100
User delegation decisions:
[41/100] User 41: Pool 1: 12046.5, Pool 2: 12046.5, Pool 3: 12046.5, Pool 4: 12046.5, Pool 5: 12046.5, Pool 6: 12046.5, Pool 7: 12046.5, Pool 8: 12046.5, Pool 9: 12046.5, Pool 10: 12046.5, Pool 11: 12046.5, Pool 12: 12046.5, Pool 13: 12046.5, Pool 14: 12046.5, Pool 15: 12046.5, Pool 16: 12046.5, Pool 17: 12046.5, Pool 18: 12046.5, Pool 19: 12046.5, Pool 20: 12046.5
[42/100] User 42: Pool 1: 20950.6, Pool 2: 20950.6, Pool 3: 20950.6, Pool 4: 20950.6, Pool 5: 20950.6, Pool 6: 20950.6, Pool 7: 20950.6, Pool 8: 20950.6, Pool 9: 20950.6, Pool 10: 20950.6, Pool 11: 20950.6, Pool 12: 20950.6, Pool 13: 20950.6, Pool 14: 20950.6, Pool 15: 20950.6, Pool 16: 20950.6, Pool 17: 20950.6, Pool 18: 20950.6, Pool 19: 20950.6, Pool 20: 20950.6
[43/100] User 43: Pool 1: 10953.0, Pool 2: 10953.0, Pool 3: 10953.0, Pool 4: 10953.0, Pool 5: 10953.0, Pool 6: 10953.0, Pool 7: 10953.0, Pool 8: 10953.0, Pool 9: 10953.0, Pool 10: 10953.0, Pool 11: 10953.0, Pool 12: 10953.0, Pool 13: 10953.0, Pool 14: 10953.0, Pool 15: 10953.0, Pool 16: 10953.0, Pool 17: 10953.0, Pool 18: 10953.0, Pool 19: 10953.0, Pool 20: 10953.0
[44/100] User 44: Pool 1: 1857689.6, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[45/100] User 45: Pool 1: 14268.9, Pool 2: 14268.9, Pool 3: 14268.9, Pool 4: 14268.9, Pool 5: 14268.9, Pool 6: 14268.9, Pool 7: 14268.9, Pool 8: 14268.9, Pool 9: 14268.9, Pool 10: 14268.9, Pool 11: 14268.9, Pool 12: 14268.9, Pool 13: 14268.9, Pool 14: 14268.9, Pool 15: 14268.9, Pool 16: 14268.9, Pool 17: 14268.9, Pool 18: 14268.9, Pool 19: 14268.9, Pool 20: 14268.9
[46/100] User 46: Pool 1: 151789.1, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[47/100] User 47: Pool 1: 15366.2, Pool 2: 15366.2, Pool 3: 15366.2, Pool 4: 15366.2, Pool 5: 15366.2, Pool 6: 15366.2, Pool 7: 15366.2, Pool 8: 15366.2, Pool 9: 15366.2, Pool 10: 15366.2, Pool 11: 15366.2, Pool 12: 15366.2, Pool 13: 15366.2, Pool 14: 15366.2, Pool 15: 15366.2, Pool 16: 15366.2, Pool 17: 15366.2, Pool 18: 15366.2, Pool 19: 15366.2, Pool 20: 15366.2
[48/100] User 48: Pool 1: 22037.2, Pool 2: 22037.2, Pool 3: 22037.2, Pool 4: 22037.2, Pool 5: 22037.2, Pool 6: 22037.2, Pool 7: 22037.2, Pool 8: 22037.2, Pool 9: 22037.2, Pool 10: 22037.2, Pool 11: 22037.2, Pool 12: 22037.2, Pool 13: 22037.2, Pool 14: 22037.2, Pool 15: 22037.2, Pool 16: 22037.2, Pool 17: 22037.2, Pool 18: 22037.2, Pool 19: 22037.2, Pool 20: 22037.2
[49/100] User 49: Pool 1: 23332.5, Pool 2: 23332.5, Pool 3: 23332.5, Pool 4: 23332.5, Pool 5: 23332.5, Pool 6: 23332.5, Pool 7: 23332.5, Pool 8: 23332.5, Pool 9: 23332.5, Pool 10: 23332.5, Pool 11: 23332.5, Pool 12: 23332.5, Pool 13: 23332.5, Pool 14: 23332.5, Pool 15: 23332.5, Pool 16: 23332.5, Pool 17: 23332.5, Pool 18: 23332.5, Pool 19: 23332.5, Pool 20: 23332.5
[50/100] User 50: Pool 1: 12974.8, Pool 2: 12974.8, Pool 3: 12974.8, Pool 4: 12974.8, Pool 5: 12974.8, Pool 6: 12974.8, Pool 7: 12974.8, Pool 8: 12974.8, Pool 9: 12974.8, Pool 10: 12974.8, Pool 11: 12974.8, Pool 12: 12974.8, Pool 13: 12974.8, Pool 14: 12974.8, Pool 15: 12974.8, Pool 16: 12974.8, Pool 17: 12974.8, Pool 18: 12974.8, Pool 19: 12974.8, Pool 20: 12974.8
